Type,Group,Class,Year,Count
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2004,"1,300"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2005,"1,384"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2006,"1,616"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2007,"1,706"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2008,"1,453"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2009,"1,486"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2010,"1,716"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2011,"1,395"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2012,"1,222"
New Arrivals,Employment-based preferences,Fourth: Certain special immigrants,2013,"1,329"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2004,"20,094"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2005,"19,357"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2006,"29,532"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2007,"22,388"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2008,"9,922"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2009,"6,873"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2010,"5,329"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2011,"7,459"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2012,"8,021"
New Arrivals,Employment-based preferences,"Third: Skilled workers, professionals, and unskilled workers",2013,"8,695"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2004,"1,400"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2005,"1,488"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2006,972
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2007,"1,171"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2008,"1,214"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2009,"1,216"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2010,"1,558"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2011,"1,691"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2012,"1,545"
New Arrivals,Employment-based preferences,Second: Professionals with advanced degrees or aliens of exceptional ability,2013,"2,070"
New Arrivals,Employment-based preferences,First: Priority workers,2004,"4,231"
New Arrivals,Employment-based preferences,First: Priority workers,2005,"4,491"
New Arrivals,Employment-based preferences,First: Priority workers,2006,"4,900"
New Arrivals,Employment-based preferences,First: Priority workers,2007,"2,895"
New Arrivals,Employment-based preferences,First: Priority workers,2008,"1,596"
New Arrivals,Employment-based preferences,First: Priority workers,2009,"1,504"
New Arrivals,Employment-based preferences,First: Priority workers,2010,"1,985"
New Arrivals,Employment-based preferences,First: Priority workers,2011,"1,646"
New Arrivals,Employment-based preferences,First: Priority workers,2012,"1,517"
New Arrivals,Employment-based preferences,First: Priority workers,2013,"1,695"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2004,"47,634"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2005,"54,758"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2006,"82,816"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2007,"82,740"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2008,"87,042"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2009,"81,791"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2010,"75,576"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2011,"70,509"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2012,"84,805"
New Arrivals,Immediate relatives of U.Scitizens,Parents,2013,"71,371"
New Arrivals,Immediate relatives of U.Scitizens,Children 1,2004,"57,382"
New Arrivals,Immediate relatives of U.Scitizens,Children 2,2005,"64,120"
New Arrivals,Immediate relatives of U.Scitizens,Children 3,2006,"76,238"
New Arrivals,Immediate relatives of U.Scitizens,Children 4,2007,"72,477"
New Arrivals,Immediate relatives of U.Scitizens,Children 5,2008,"75,877"
New Arrivals,Immediate relatives of U.Scitizens,Children 6,2009,"69,684"
New Arrivals,Immediate relatives of U.Scitizens,Children 7,2010,"65,547"
New Arrivals,Immediate relatives of U.Scitizens,Children 8,2011,"60,023"
New Arrivals,Immediate relatives of U.Scitizens,Children 9,2012,"62,836"
New Arrivals,Immediate relatives of U.Scitizens,Children 10,2013,"54,863"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2004,"42,835"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2005,"50,386"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2006,"64,167"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2007,"62,515"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2008,"74,474"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2009,"75,006"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2010,"82,449"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2011,"79,452"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2012,"91,153"
New Arrivals,Immediate relatives of U.Scitizens,Spouses,2013,"81,121"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2004,"59,367"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2005,"60,605"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2006,"58,282"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2007,"60,751"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2008,"63,302"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2009,"56,625"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2010,"56,510"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2011,"61,377"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2012,"55,233"
New Arrivals,Family-sponsored preferences,Fourth: Brothers/sisters of U.Scitizens (at least 21 years of age) and their spouses and children.,2013,"50,008"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2004,"24,023"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2005,"18,789"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2006,"17,537"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2007,"17,485"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2008,"25,462"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2009,"22,624"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2010,"28,352"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2011,"24,619"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2012,"19,299"
New Arrivals,Family-sponsored preferences,Third: Married sons/daughters of U.Scitizens and their spouses and children,2013,"19,465"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2004,"47,940"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2005,"44,777"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2006,"49,544"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2007,"49,105"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2008,"61,575"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2009,"73,970"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2010,"80,372"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2011,"96,633"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2012,"91,017"
New Arrivals,Family-sponsored preferences,"Second: Spouses, children, and unmarried sons/daughters of alien residents",2013,"92,595"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2004,"18,598"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2005,"18,340"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2006,"17,157"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2007,"15,500"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2008,"20,523"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2009,"18,853"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2010,"23,076"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2011,"23,956"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2012,"17,910"
New Arrivals,Family-sponsored preferences,First: Unmarried sons/daughters of U.Scitizens and their children,2013,"21,820"
